date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2008_01_01 00:00:58	25.20	30.70	21.20	84.80	143.00	12.00	 9.80
2008_01_01 00:04:34	25.20	30.70	21.10	84.20	139.40	12.00	 9.60
2008_01_01 00:07:20	25.20	30.70	21.20	84.40	140.60	12.00	 9.60
2008_01_01 00:10:47	25.30	30.70	21.50	85.20	140.60	12.00	10.60
2008_01_01 00:13:33	25.30	30.70	21.50	85.20	143.20	13.00	11.00
2008_01_01 00:17:01	25.30	30.70	21.60	85.60	143.80	13.00	10.60
2008_01_01 00:19:47	25.20	30.70	21.60	85.80	141.00	13.00	11.00
2008_01_01 00:23:14	25.10	30.70	21.50	86.00	141.80	13.00	10.80
2008_01_01 00:26:00	25.00	30.70	21.40	86.00	139.20	13.00	10.60
2008_01_01 00:29:27	24.90	30.70	21.50	86.60	143.40	13.00	10.40
2008_01_01 00:32:13	25.00	30.70	21.70	87.00	146.00	13.00	10.00
2008_01_01 00:35:41	25.00	30.70	21.30	85.80	153.40	12.00	10.00
2008_01_01 00:38:27	25.00	30.70	21.30	85.80	150.60	12.00	10.00
2008_01_01 00:41:54	25.00	30.70	21.30	85.60	148.80	12.00	 9.00
2008_01_01 00:44:40	25.10	30.70	21.30	85.40	153.40	12.00	 9.20
2008_01_01 00:48:08	25.10	30.70	21.40	85.60	147.00	12.00	 9.60
2008_01_01 00:50:55	25.00	30.70	21.20	85.40	140.60	12.00	 9.40
2008_01_01 00:54:21	24.70	30.80	21.00	85.40	141.40	11.00	 9.00
2008_01_01 00:57:08	24.50	30.80	20.90	86.00	139.20	11.00	 9.00
2008_01_01 01:00:35	24.50	30.80	21.20	87.00	141.00	11.00	 7.60
2008_01_01 01:03:22	24.50	30.80	21.20	87.00	142.40	10.00	 7.40
2008_01_01 01:06:49	24.50	30.80	21.20	87.20	151.20	10.00	 6.20
2008_01_01 01:09:35	24.40	30.80	21.20	87.40	149.80	 9.00	 6.00
2008_01_01 01:13:02	24.40	30.80	21.10	87.00	150.40	 7.00	 5.00
2008_01_01 01:15:49	24.40	30.80	21.10	87.00	152.40	 7.00	 4.60
2008_01_01 01:19:16	24.60	30.70	21.40	87.40	154.20	 7.00	 4.80
2008_01_01 01:22:03	24.70	30.70	21.60	87.60	158.80	 7.00	 4.60
2008_01_01 01:25:29	24.80	30.70	21.50	87.00	158.00	 6.00	 3.80
2008_01_01 01:28:16	24.80	30.70	21.40	86.60	158.00	 5.00	 3.20
2008_01_01 01:31:43	25.00	30.70	21.20	85.40	158.00	 5.00	 3.20
2008_01_01 01:34:29	25.20	30.70	21.40	85.40	158.80	 5.00	 4.00
2008_01_01 01:37:56	25.40	30.70	21.60	85.20	160.60	 5.00	 3.00
2008_01_01 01:40:43	25.60	30.70	21.40	84.20	160.40	 5.00	 2.80
2008_01_01 01:44:10	25.70	30.70	21.50	84.00	160.00	 5.00	 3.80
2008_01_01 01:46:56	25.80	30.70	21.60	83.80	162.00	 5.00	 2.40
2008_01_01 01:50:24	25.80	30.70	21.20	82.20	163.00	 5.00	 0.80
2008_01_01 01:53:10	25.80	30.70	21.10	82.00	163.00	 3.00	 0.80
2008_01_01 01:56:37	25.90	30.70	20.90	81.20	163.00	 3.00	 0.20
2008_01_01 01:59:23	26.00	30.70	21.00	81.00	163.00	 2.00	 0.20
2008_01_01 02:02:51	26.00	30.70	21.00	81.00	163.00	 3.00	 1.00
2008_01_01 02:05:37	26.20	30.70	21.30	81.40	163.00	 3.00	 1.40
2008_01_01 02:09:04	26.30	30.70	21.60	82.00	163.00	 3.00	 1.80
2008_01_01 02:11:50	26.50	30.70	22.00	82.60	163.00	 3.00	 1.20
2008_01_01 02:15:18	26.80	30.70	22.30	82.80	163.00	 3.00	 1.80
2008_01_01 02:18:04	27.00	30.70	22.30	82.40	165.00	 3.00	 1.20
2008_01_01 02:21:31	27.10	30.70	22.40	82.40	168.00	 3.00	 0.40
2008_01_01 02:24:18	27.20	30.70	22.50	82.40	168.00	 3.00	 0.80
2008_01_01 02:27:45	27.30	30.70	22.50	81.80	168.00	 2.00	 0.60
2008_01_01 02:30:31	27.40	30.70	22.40	81.40	168.00	 2.00	 0.60
2008_01_01 02:33:59	27.40	30.70	22.40	81.00	162.60	 3.00	 0.80
2008_01_01 02:36:45	27.30	30.70	22.20	80.80	171.60	10.00	 2.80
2008_01_01 02:40:14	27.30	30.70	22.10	80.20	105.60	10.00	 5.60
2008_01_01 02:42:58	27.30	30.70	21.80	79.40	126.20	 9.00	 1.80
2008_01_01 02:46:27	27.40	30.70	22.00	79.60	77.00	 9.00	 2.40
2008_01_01 02:49:12	27.50	30.70	22.10	79.60	41.40	 5.00	 2.40
2008_01_01 02:52:41	27.50	30.70	22.20	80.00	53.60	 6.00	 2.00
2008_01_01 02:55:25	27.50	30.70	22.20	80.20	48.80	 6.00	 2.60
2008_01_01 02:58:54	27.40	30.70	21.90	79.40	40.60	 6.00	 3.60
2008_01_01 03:01:39	27.30	30.70	21.70	79.00	37.00	 6.00	 3.60
2008_01_01 03:05:08	27.30	30.70	21.70	79.00	36.00	 6.00	 2.60
2008_01_01 03:07:53	27.30	30.70	21.70	79.00	31.40	 7.00	 3.20
2008_01_01 03:11:21	27.50	30.70	22.10	80.00	84.40	 7.00	 4.20
2008_01_01 03:14:06	27.50	30.70	22.10	79.80	 9.40	 6.00	 3.80
2008_01_01 03:17:35	27.50	30.70	22.10	79.80	16.20	 7.00	 4.80
2008_01_01 03:20:20	27.60	30.70	22.40	80.40	15.80	10.00	 6.40
2008_01_01 03:23:48	27.80	30.70	22.40	80.20	10.20	12.00	10.40
2008_01_01 03:26:33	27.60	30.70	21.90	78.80	 8.80	14.00	11.60
2008_01_01 03:30:02	27.50	30.70	21.70	78.40	10.20	14.00	11.60
2008_01_01 03:32:47	27.40	30.70	21.60	78.20	18.40	14.00	11.00
